exp_id,num_cores,cpu_clock_GHz,l1i_kb,l1d_kb,l1_assoc,l2_kb,l2_assoc,fetchWidth,decodeWidth,issueWidth,commitWidth,numROBEntries,numIQEntries,LQEntries,SQEntries,branch_predictor,Area,Peak Power,Total Leakage,Peak Dynamic,Subthreshold Leakage,Gate Leakage,Runtime Dynamic,ipc,branch_misprediction_rate,icache_miss_rate,dcache_read_miss_rate,dcache_write_miss_rate
541,1,1.4,32,16,4,1024,4,12,2,4,12,128,128,16,32,BiModeBP,87.0914,43.8569,17.5027,23.2237,16.2941,1.188,5.5245,0.8227,0.0729,0.0104,0.087,0.0105
542,1,2.8,16,16,8,1024,8,12,4,2,2,256,16,64,8,MultiperspectivePerceptron64KB,93.6235,63.1979,17.1783,40.7548,16.1683,1.1559,6.8839,0.6486,0.1281,0.0082,0.0765,0.0106
543,1,1.4,128,64,1,2048,4,12,12,8,12,32,96,32,16,TAGE_SC_L_64KB,198.9875,84.9359,19.4798,68.0433,18.4743,1.3023,9.9757,1.0117,0.0551,0.0083,0.0103,0.0102
544,1,2.8,32,16,4,512,2,4,2,2,8,256,32,32,32,TournamentBP,79.2698,59.7279,16.695,37.0279,15.5658,1.1453,7.0569,0.7284,0.0675,0.0096,0.0991,0.0106
545,1,1.4,128,16,1,2048,2,4,8,12,12,32,32,8,32,MultiperspectivePerceptron64KB,169.9837,83.572,19.7745,63.7421,18.6823,1.3493,9.8737,0.8248,0.1102,0.0085,0.0634,0.0106
546,1,1,16,64,8,1024,2,2,12,12,4,32,32,16,16,TournamentBP,180.674,80.5011,19.0411,62.9441,17.8698,1.3415,7.2607,0.7913,0.0676,0.011,0.0098,0.0102
547,1,3.4,32,128,4,128,16,12,8,8,4,256,16,64,32,TAGE_SC_L_64KB,123.3705,125.662,17.3267,104.0527,16.2799,1.2573,19.0686,0.8582,0.055,0.0094,0.011,0.01
548,1,3.8,32,128,2,512,4,8,2,2,4,32,64,16,64,TAGE_SC_L_64KB,82.8423,73.5756,16.8522,49.5563,15.7628,1.15,8.4916,0.6797,0.0553,0.0093,0.0097,0.0101
549,1,2.6,32,32,4,128,2,8,8,8,12,32,32,16,16,BiModeBP,109.037,103.134,17.2479,80.4726,16.0315,1.2531,14.0892,0.8572,0.0728,0.0099,0.0189,0.0103
550,1,3.6,32,32,8,512,4,4,4,12,4,256,64,8,64,BiModeBP,117.5867,161.586,18.0817,135.3591,16.7753,1.3064,23.8315,0.8026,0.0729,0.0114,0.0244,0.0104
551,1,3,32,32,8,128,2,2,8,2,8,128,16,64,8,BiModeBP,95.6291,81.2487,16.4933,58.7783,15.3804,1.1546,7.7127,0.6483,0.0729,0.0107,0.0194,0.0104
552,1,3.8,16,128,4,2048,16,12,2,4,12,32,32,64,64,TAGE_SC_L_64KB,107.329,88.0969,18.6029,61.2613,17.4506,1.2043,11.7709,0.6939,0.0549,0.011,0.0095,0.0101
553,1,2,32,16,4,256,4,12,8,8,12,192,96,8,8,TAGE,120.5948,85.5957,17.2935,66.1641,16.2051,1.2587,12.6197,0.8933,0.0557,0.0095,0.0872,0.0106
554,1,2,32,32,4,256,16,4,8,2,4,32,16,64,8,TAGE,105.6471,57.4395,16.5076,39.1769,15.5293,1.1543,5.66,0.7498,0.0562,0.0093,0.0193,0.0104
555,1,1.4,16,128,8,2048,2,2,4,4,8,64,64,64,8,TAGE,113.3445,46.1905,18.5891,24.8319,17.4656,1.1984,4.9532,0.7794,0.0562,0.011,0.0126,0.0101
556,1,2.4,128,32,4,128,8,2,2,8,12,256,128,16,32,MultiperspectivePerceptron64KB,91.3494,82.4232,17.1759,60.0035,16.012,1.2427,11.8964,0.7167,0.1024,0.0092,0.0258,0.0104
557,1,3.2,64,32,8,2048,4,8,12,8,2,32,64,16,8,TAGE_SC_L_64KB,196.7146,161.695,19.1713,140.7768,18.1981,1.2823,16.5416,0.7078,0.0549,0.009,0.0194,0.0104
558,1,2.4,32,32,4,256,8,12,4,12,4,256,96,8,64,BiModeBP,113.0967,117.464,17.8689,93.6251,16.551,1.3094,18.5357,0.9298,0.0728,0.0097,0.024,0.0104
559,1,1,128,64,4,128,4,12,4,2,8,192,96,16,8,TournamentBP,81.6445,33.5679,16.6835,15.3104,15.5734,1.1619,3.4527,0.8178,0.0673,0.0066,0.0163,0.0102
560,1,1.8,16,32,1,1024,4,12,4,8,8,32,32,16,32,BiModeBP,102.1927,66.0029,18.0355,43.8308,16.7801,1.2507,9.5317,0.9162,0.0729,0.0105,0.0186,0.0104
561,1,1.8,32,128,1,128,16,8,2,12,8,64,128,8,8,LocalBP,105.8163,88.8535,17.7676,66.583,16.4242,1.3057,11.9427,0.7781,0.0812,0.0091,0.014,0.0101
562,1,2.8,16,32,1,256,4,8,12,8,2,64,64,64,16,TAGE,166.1157,140.396,17.3261,122.2881,16.3396,1.2593,15.8357,0.7965,0.056,0.0105,0.0242,0.0104
563,1,4,128,32,2,512,8,2,8,8,2,128,32,16,8,MultiperspectivePerceptron64KB,134.2047,143.597,17.656,120.9741,16.6794,1.2554,17.259,0.6174,0.1063,0.0092,0.0232,0.0104
564,1,3.4,64,128,1,256,4,8,2,2,8,192,64,16,16,BiModeBP,77.8823,68.1171,16.734,44.9465,15.5732,1.1523,8.463,0.7141,0.0729,0.0097,0.0153,0.0101
565,1,2.4,32,16,1,512,2,8,8,8,8,256,64,64,32,TAGE,125.0348,97.9606,17.5299,77.1509,16.4429,1.2556,15.2721,0.9607,0.0562,0.0102,0.1041,0.0105
566,1,3,128,64,2,256,4,2,8,12,2,128,64,64,64,TournamentBP,134.15,159.012,18.2673,135.4191,17.0586,1.325,18.7232,0.7098,0.0676,0.0097,0.0155,0.0102
567,1,1.2,64,64,4,256,2,2,8,12,8,32,96,32,32,MultiperspectivePerceptron64KB,145.9807,74.2863,17.9783,57.1675,16.9183,1.3249,8.2903,0.7602,0.0999,0.009,0.0094,0.0102
568,1,3.2,64,32,2,1024,4,8,2,2,4,128,128,16,32,BiModeBP,83.9121,67.273,17.3169,42.7786,16.146,1.1516,7.7443,0.7256,0.0729,0.0096,0.026,0.0104
569,1,3.2,32,16,2,128,16,8,8,2,2,256,32,16,8,TournamentBP,99.5548,85.1599,16.4875,63.9922,15.4582,1.1562,8.9424,0.6835,0.0673,0.0085,0.0995,0.0106
570,1,3,64,64,8,512,8,8,8,12,4,32,64,32,32,TAGE,141.1788,153.202,18.2255,130.5911,17.0749,1.324,20.7475,0.8714,0.056,0.0091,0.0105,0.0102
571,1,3.4,32,16,4,512,8,2,2,8,4,128,64,8,32,LocalBP,92.6426,101.42,17.2889,77.0912,16.0388,1.2264,14.1691,0.6401,0.0812,0.01,0.0849,0.0106
572,1,3.4,128,128,1,1024,8,12,12,4,4,256,32,32,32,TournamentBP,159.361,146.135,18.3844,123.1779,17.3418,1.2309,16.8652,0.8902,0.0672,0.0082,0.0141,0.01
573,1,2.2,16,64,8,1024,16,4,2,8,8,32,96,16,8,LocalBP,97.5601,75.2165,17.9547,51.9619,16.6802,1.24,10.198,0.7401,0.0812,0.0103,0.0099,0.0102
574,1,1.6,128,16,1,1024,16,8,2,4,8,128,128,16,32,TournamentBP,88.1343,47.4173,17.6791,26.21,16.5013,1.1902,6.0101,0.817,0.0675,0.0091,0.0871,0.0105
575,1,2.4,16,16,8,2048,16,4,2,8,2,64,32,16,32,TournamentBP,112.544,78.7855,18.826,53.8249,17.5844,1.2447,10.6109,0.7529,0.0676,0.011,0.0876,0.0106
576,1,1.2,32,64,1,2048,2,4,4,4,4,64,64,16,8,TournamentBP,110.488,42.395,18.5664,21.3589,17.4118,1.195,4.8941,0.9945,0.0674,0.0102,0.013,0.0102
577,1,3.6,32,64,8,256,16,12,4,4,8,64,32,64,8,TAGE_SC_L_64KB,87.9796,82.3274,16.7413,59.4211,15.6704,1.1836,12.5348,0.8128,0.0546,0.0088,0.0137,0.0102
578,1,1.2,16,128,1,2048,8,12,12,4,2,128,128,8,8,BiModeBP,164.7993,64.1764,19.0203,44.1983,17.8617,1.2243,6.1859,0.877,0.073,0.0103,0.0145,0.0101
579,1,3.4,16,16,2,512,16,4,4,8,4,64,96,64,64,TAGE_SC_L_64KB,101.6362,107.932,17.3276,84.2864,16.1989,1.2366,16.5003,0.7923,0.055,0.0116,0.1024,0.0105
580,1,1.8,16,32,2,128,2,4,4,2,8,192,32,8,32,TAGE,80.715,44.9684,16.2248,25.7077,15.1693,1.1433,5.0246,0.7887,0.0561,0.0101,0.0248,0.0104
581,1,1.2,64,32,4,128,16,12,12,4,2,64,96,64,64,LocalBP,129.9911,57.7654,16.79,40.0535,15.6451,1.1935,6.0327,0.8877,0.0805,0.0083,0.0236,0.0104
582,1,1.4,128,64,1,256,2,8,2,12,2,32,128,64,8,TAGE,107.5713,72.4043,17.9516,51.1387,16.6731,1.3074,9.2688,0.8181,0.056,0.0091,0.0102,0.0102
583,1,1.4,32,64,4,256,8,12,12,8,12,32,96,8,32,BiModeBP,149.4692,84.9457,17.7068,65.851,16.5028,1.2743,9.9104,0.9957,0.0728,0.0093,0.0101,0.0102
584,1,1,64,64,2,128,16,8,12,12,2,32,64,64,16,TAGE,180.4007,76.7726,17.9222,62.0568,16.8491,1.3307,7.9099,0.8896,0.056,0.0088,0.0106,0.0102
585,1,2,16,16,2,2048,4,2,4,8,4,32,64,8,64,TAGE,120.5495,72.6148,18.8059,49.3066,17.6288,1.2493,8.9652,0.7056,0.0563,0.0112,0.0693,0.0106
586,1,3.4,16,64,4,512,16,2,2,8,12,128,16,8,16,TournamentBP,94.573,101.619,17.4888,77.1108,16.2673,1.2405,14.3945,0.6653,0.0676,0.0113,0.0107,0.0102
587,1,1,32,64,1,1024,2,2,2,2,12,256,128,8,64,BiModeBP,85.0159,33.6559,17.3636,14.1229,16.1879,1.1559,3.1237,0.7832,0.073,0.0103,0.0149,0.0102
588,1,2.6,64,16,4,512,2,12,4,2,2,32,64,32,8,MultiperspectivePerceptron64KB,89.559,58.4331,16.7117,37.0741,15.7069,1.1523,6.1483,0.6299,0.1256,0.0068,0.0686,0.0106
589,1,3.4,128,64,1,512,2,2,8,4,2,256,96,32,8,TournamentBP,111.733,102.802,17.4329,79.7914,16.3592,1.1968,11.3338,0.6664,0.0676,0.0097,0.0157,0.0102
590,1,4,64,128,1,512,2,2,4,2,2,256,32,32,8,MultiperspectivePerceptron64KB,92.7672,80.2814,16.9264,56.4977,15.9281,1.1532,8.5208,0.6099,0.1065,0.0093,0.0137,0.0101
591,1,3.4,32,32,8,256,8,4,2,12,8,128,64,16,16,LocalBP,105.4093,144.063,17.6848,118.8561,16.3586,1.2982,20.3661,0.7178,0.0811,0.0098,0.0249,0.0104
592,1,3.2,64,16,1,256,8,4,4,12,2,128,96,8,8,TAGE,113.8685,143.901,17.728,119.741,16.5104,1.3019,19.4197,0.7,0.0563,0.0101,0.0924,0.0106
593,1,1,32,128,1,1024,8,8,8,8,4,128,32,32,64,TAGE_SC_L_64KB,132.8055,51.0626,18.2923,33.4231,17.2244,1.2656,6.8882,1.1229,0.0551,0.0101,0.0138,0.01
594,1,2.2,16,16,1,256,8,12,12,8,12,32,96,16,16,BiModeBP,148.0443,122.739,17.5613,101.3765,16.3622,1.2699,13.7565,0.8277,0.0728,0.0105,0.0722,0.0105
595,1,2.4,32,32,2,2048,16,4,2,8,4,128,96,64,16,TournamentBP,114.343,82.9444,18.9362,57.8227,17.6884,1.2504,11.594,0.7912,0.0676,0.01,0.0248,0.0104
596,1,2.2,128,128,2,256,2,8,12,4,8,256,96,16,32,BiModeBP,141.3582,99.0212,17.5187,77.8537,16.3749,1.2166,12.1797,0.9867,0.0728,0.0096,0.0155,0.01
597,1,1.6,64,16,2,512,8,12,2,12,12,64,128,8,16,BiModeBP,110.7741,82.5687,18.1108,60.3823,16.7662,1.3149,10.9267,0.7805,0.0729,0.01,0.086,0.0106
598,1,2.8,16,128,8,1024,4,2,12,2,2,128,128,64,64,BiModeBP,146.0422,109.554,17.8211,87.1897,16.724,1.1798,9.1056,0.7097,0.0729,0.0119,0.0151,0.0101
599,1,2.2,32,64,4,2048,4,4,8,8,12,64,16,16,16,TAGE_SC_L_64KB,147.9305,91.4722,19.1053,69.4544,18.0227,1.275,12.1959,0.9197,0.055,0.0104,0.0111,0.0102
600,1,1.8,32,16,8,1024,2,12,12,8,4,64,96,8,16,TournamentBP,165.122,106.175,18.4372,86.8047,17.333,1.279,12.1079,0.9184,0.0674,0.0092,0.0891,0.0106
601,1,1.8,64,32,4,128,2,4,8,8,4,128,96,16,32,TournamentBP,113.848,79.3653,17.3252,59.5457,16.1868,1.2508,10.9312,0.9746,0.0674,0.0101,0.0259,0.0104
602,1,3.6,64,16,2,512,4,4,4,12,8,192,96,16,64,TAGE,119.8415,165.088,18.0524,139.4581,16.823,1.3118,24.7023,0.8182,0.056,0.0103,0.1062,0.0106
603,1,3.6,64,32,2,256,2,12,12,8,12,32,128,32,8,TAGE_SC_L_64KB,173.2475,182.542,17.5067,162.9662,16.5454,1.277,21.257,0.7702,0.0551,0.0087,0.0189,0.0104
604,1,1.8,16,32,1,512,2,8,2,8,4,128,64,16,16,BiModeBP,92.5546,62.8466,17.3845,41.2732,16.1286,1.233,8.8942,0.8201,0.0729,0.0115,0.0246,0.0104
605,1,4,16,32,2,1024,2,8,2,2,8,32,32,32,8,LocalBP,83.7692,77.898,17.164,52.8534,15.9947,1.1489,8.4286,0.6187,0.0813,0.0095,0.0187,0.0104
606,1,3.6,64,64,1,256,16,4,4,4,4,256,96,16,32,TAGE_SC_L_64KB,88.5029,83.2641,16.7634,60.3128,15.6987,1.1771,12.8164,0.8434,0.0551,0.0104,0.0166,0.0102
607,1,1.6,128,32,4,128,16,4,2,8,12,192,96,32,16,TAGE_SC_L_64KB,89.7267,59.5422,17.171,38.9474,15.9779,1.2423,8.6197,0.8433,0.0553,0.0093,0.0257,0.0104
608,1,2,32,128,4,256,4,4,12,2,2,128,128,8,32,MultiperspectivePerceptron64KB,173.7643,77.6561,16.8553,64.1013,16.0851,1.178,7.2599,0.7344,0.1137,0.0081,0.0151,0.0101
609,1,3.2,16,128,1,128,4,8,4,12,2,32,128,8,64,MultiperspectivePerceptron64KB,116.4138,145.553,17.7395,121.7393,16.5769,1.3096,19.9166,0.7095,0.1268,0.0087,0.0088,0.0101
610,1,3.4,32,128,2,1024,4,12,8,2,12,192,32,64,64,MultiperspectivePerceptron64KB,127.5917,90.7364,17.6409,69.7353,16.734,1.188,10.5469,0.6771,0.126,0.0074,0.0139,0.0101
611,1,2,16,64,1,128,8,2,8,12,8,128,96,8,64,TournamentBP,131.445,115.916,17.917,94.5672,16.7024,1.321,13.534,0.7437,0.0676,0.0112,0.015,0.0102
612,1,1,64,16,1,2048,4,12,8,4,4,192,96,8,64,BiModeBP,126.097,44.6922,18.6994,24.5605,17.5209,1.2092,5.1657,0.9836,0.0727,0.0091,0.0891,0.0106
613,1,4,32,128,4,2048,2,8,4,4,12,192,16,32,32,TAGE,114.6935,96.8224,18.6647,69.8471,17.5414,1.2074,14.1211,0.8023,0.0559,0.0096,0.0108,0.0101
614,1,1.8,16,128,2,128,4,2,4,4,2,32,64,16,64,TAGE_SC_L_64KB,86.2453,49.3523,16.6163,29.6853,15.5491,1.1721,5.7797,0.7512,0.0552,0.0111,0.0094,0.0101
615,1,1.2,64,128,1,2048,2,2,12,8,2,256,64,64,16,LocalBP,170.7961,74.7386,19.4135,53.8782,18.172,1.2767,7.2934,0.7864,0.0813,0.0094,0.015,0.0101
616,1,4,32,32,2,1024,4,2,8,2,12,256,128,16,8,MultiperspectivePerceptron64KB,125.1801,102.588,17.3706,80.6423,16.4781,1.1744,10.6581,0.6145,0.1014,0.0098,0.026,0.0104
617,1,3.6,16,16,2,2048,2,4,2,8,12,64,128,16,32,TournamentBP,115.169,116.742,18.9003,89.606,17.6566,1.2558,16.6553,0.6901,0.0676,0.0111,0.086,0.0106
618,1,4,128,16,8,1024,2,4,8,12,12,64,64,8,8,LocalBP,136.671,204.34,18.8337,176.0233,17.5153,1.331,25.4726,0.6968,0.0811,0.0095,0.0881,0.0106
619,1,2.2,32,128,4,1024,4,2,2,8,4,256,32,8,64,TournamentBP,100.4,74.6336,18.203,51.1536,16.9652,1.2454,10.2119,0.7354,0.0676,0.0102,0.0139,0.0101
620,1,2.2,16,128,1,128,4,8,8,4,8,256,64,32,32,TAGE_SC_L_64KB,111.9833,69.4927,16.8011,50.7246,15.8117,1.1948,10.5114,1.0002,0.055,0.011,0.0155,0.01
621,1,1.2,64,128,4,256,16,2,12,8,8,64,32,16,32,LocalBP,144.3451,70.9459,17.655,52.1753,16.4366,1.2621,7.0008,0.782,0.0812,0.0094,0.0125,0.0101
622,1,2.6,128,32,1,1024,4,4,2,8,4,64,32,16,32,MultiperspectivePerceptron64KB,99.1648,82.1015,18.0777,58.0468,16.908,1.2456,11.3995,0.7345,0.1073,0.0083,0.0219,0.0104
623,1,3.6,32,64,2,128,8,12,4,4,2,32,16,16,64,LocalBP,81.6927,79.9578,16.5311,56.7115,15.3582,1.1711,10.7746,0.7082,0.0805,0.0089,0.0104,0.0102
624,1,2.8,16,64,1,128,4,8,2,4,2,192,32,16,64,LocalBP,76.0716,63.8765,16.4528,41.4516,15.2638,1.1632,8.7349,0.7513,0.0811,0.0103,0.0145,0.0102
625,1,1.6,128,128,8,512,4,4,4,2,12,128,16,8,16,LocalBP,87.6539,43.8434,17.1304,23.334,15.9551,1.1627,4.6714,0.7883,0.0811,0.0085,0.0106,0.0101
626,1,2,128,64,8,1024,8,8,4,12,2,256,96,8,16,TournamentBP,124.839,102.911,18.952,79.0547,17.662,1.3254,14.3232,0.8408,0.0675,0.0088,0.0151,0.0102
627,1,1.6,128,32,2,256,2,12,2,2,2,32,64,32,32,BiModeBP,75.4494,40.7059,16.6268,20.7413,15.4639,1.1472,4.1689,0.7668,0.073,0.0088,0.0187,0.0104
628,1,2.4,64,32,4,2048,8,2,8,2,12,128,32,8,8,LocalBP,120.874,70.7051,18.3746,47.0087,17.21,1.1761,6.6831,0.6826,0.0812,0.0096,0.0236,0.0104
629,1,3.4,128,64,2,512,2,2,2,4,12,128,16,64,64,MultiperspectivePerceptron64KB,86.8701,76.4894,17.1504,52.9033,16.0533,1.1865,9.9069,0.6545,0.1009,0.0092,0.0108,0.0102
630,1,1.4,32,32,2,1024,8,12,8,4,4,256,96,64,8,MultiperspectivePerceptron64KB,127.3737,51.957,17.5974,34.9829,16.6665,1.2027,6.9885,0.9466,0.1319,0.0076,0.0241,0.0104
631,1,2.6,32,128,8,512,16,2,12,12,2,64,96,32,16,MultiperspectivePerceptron64KB,208.9943,174.687,18.4091,157.9576,17.4776,1.3393,17.5617,0.7004,0.1011,0.0096,0.0125,0.0101
632,1,2.8,32,16,8,512,8,12,4,4,8,32,64,8,32,BiModeBP,87.5799,70.3499,16.982,47.222,15.8009,1.1823,9.7036,0.7761,0.0728,0.0097,0.0718,0.0106
633,1,3.6,128,128,8,512,4,2,12,2,8,64,32,16,32,TournamentBP,151.727,138.009,17.5872,115.548,16.5851,1.1923,11.0254,0.6635,0.0676,0.0097,0.0128,0.0101
634,1,2.6,32,64,2,256,2,8,12,8,2,32,32,8,32,LocalBP,141.8081,130.666,17.4258,108.1895,16.2166,1.2537,14.0935,0.7761,0.0808,0.0087,0.0103,0.0102
635,1,2.2,128,128,2,512,16,4,8,12,2,32,16,32,64,TAGE,141.3338,113.779,18.478,92.1258,17.3133,1.3277,14.0614,0.8068,0.0564,0.0095,0.0101,0.01
636,1,1.8,16,128,8,2048,16,2,4,8,12,64,64,64,16,LocalBP,120.9292,69.24,19.1209,45.5382,17.8344,1.2613,8.7274,0.7485,0.0812,0.0107,0.0127,0.0101
637,1,2.8,32,64,4,512,2,8,2,2,8,64,64,32,16,LocalBP,79.7943,59.5222,16.7343,36.6671,15.5607,1.1462,6.8455,0.7271,0.0811,0.0088,0.0141,0.0102
638,1,1.4,32,32,4,256,4,4,12,12,12,192,64,32,32,TAGE,184.3327,103.777,18.0208,87.7066,16.9407,1.3364,12.4319,1.0146,0.0561,0.0104,0.026,0.0103
639,1,2.6,128,64,4,1024,2,12,2,8,12,128,32,16,8,TAGE_SC_L_64KB,100.5321,85.0252,18.2421,60.6589,17.027,1.2601,12.4025,0.7608,0.0551,0.0093,0.0143,0.0102
640,1,2.6,16,16,4,512,2,2,2,8,8,256,16,32,8,BiModeBP,92.8582,82.5779,17.3538,59.1034,16.0991,1.2318,11.348,0.6563,0.0729,0.0117,0.0683,0.0106
641,1,1,64,128,1,2048,8,12,4,12,8,64,64,16,16,TournamentBP,139.09,60.3202,19.9321,38.1222,18.621,1.3418,8.2255,1.0862,0.0674,0.0086,0.0124,0.01
642,1,3.8,32,16,4,128,16,8,8,12,4,256,16,8,64,LocalBP,124.205,186.762,17.6405,161.1639,16.3525,1.3086,25.2004,0.7339,0.0811,0.0093,0.0738,0.0106
643,1,1.2,32,64,4,512,8,2,12,8,8,192,64,16,32,TAGE_SC_L_64KB,177.0705,72.4197,17.7303,58.1769,16.7648,1.2692,7.4184,0.8089,0.0551,0.0101,0.0156,0.0102
644,1,1.4,128,64,2,1024,16,12,4,12,8,64,16,64,16,BiModeBP,119.9137,71.9868,18.9322,49.6292,17.5921,1.3291,10.1167,0.9869,0.0728,0.0087,0.0111,0.0102
645,1,3.4,16,128,4,256,4,8,8,2,8,256,96,32,32,BiModeBP,100.468,91.09,16.878,68.1061,15.7605,1.1667,10.6695,0.6956,0.0727,0.009,0.0162,0.01
646,1,3.6,128,128,1,2048,16,4,4,8,12,256,64,32,32,LocalBP,124.1832,121.352,19.3666,93.5848,18.0796,1.2712,19.5072,0.8587,0.081,0.0098,0.0155,0.01
647,1,2.6,32,128,1,256,16,4,4,4,4,128,16,8,8,MultiperspectivePerceptron64KB,90.2813,64.2574,16.8304,42.7538,15.7981,1.1796,8.7263,0.7987,0.1095,0.0092,0.0102,0.0101
648,1,3,16,32,2,512,8,4,2,4,12,192,64,8,16,TournamentBP,82.9833,71.1838,16.9378,47.6363,15.7744,1.1779,9.745,0.7351,0.0676,0.011,0.0241,0.0104
649,1,2.2,32,64,2,128,8,4,8,8,2,128,32,16,8,TAGE_SC_L_64KB,120.1565,86.4749,17.1173,67.1614,16.0751,1.2445,11.24,0.8073,0.0552,0.0104,0.0154,0.0102
650,1,3.6,128,32,1,1024,16,2,4,8,8,64,64,32,64,LocalBP,103.7902,114.062,18.1493,88.2767,16.8906,1.2493,15.4349,0.6588,0.0812,0.0094,0.023,0.0104
651,1,3.2,128,16,2,512,8,4,2,12,4,64,32,32,16,MultiperspectivePerceptron64KB,110.6764,130.376,18.0667,105.4333,16.8415,1.3064,17.9613,0.6812,0.1087,0.0083,0.0794,0.0106
652,1,3.2,16,128,1,2048,4,4,12,8,2,32,128,8,8,TAGE,194.1867,165.821,19.2888,143.9431,18.2719,1.2819,17.1261,0.7152,0.0563,0.011,0.0101,0.0101
653,1,1.2,64,128,8,512,2,2,2,2,12,64,16,8,8,MultiperspectivePerceptron64KB,83.6126,35.5989,16.9375,16.3662,15.8634,1.1563,3.3424,0.7413,0.0999,0.0091,0.0101,0.0101
654,1,1.4,16,32,8,128,8,12,12,8,2,64,128,8,16,BiModeBP,146.0242,84.0241,17.3733,65.3125,16.1853,1.2594,9.0593,0.8622,0.0731,0.0105,0.024,0.0104
655,1,3,128,32,4,2048,8,12,12,8,12,64,16,8,32,TAGE_SC_L_64KB,198.3555,154.019,19.3812,133.37,18.3907,1.2993,18.2781,0.8757,0.0548,0.0084,0.0205,0.0104
656,1,4,32,64,8,512,2,12,12,4,8,128,64,8,16,TournamentBP,154.223,167.598,17.5115,143.4226,16.4793,1.2172,18.2145,0.8065,0.0673,0.009,0.0149,0.0102
657,1,3.2,128,128,8,2048,8,2,12,2,12,32,128,8,32,TAGE_SC_L_64KB,187.4545,119.196,18.8542,98.8618,17.9575,1.2084,10.3367,0.6769,0.055,0.0097,0.0095,0.0101
658,1,1,32,128,8,1024,4,12,4,12,8,128,128,8,32,TAGE_SC_L_64KB,126.7293,61.4272,18.8324,40.8269,17.5926,1.3294,8.7394,1.0808,0.0551,0.0091,0.0145,0.01
659,1,1.4,32,64,2,128,8,4,2,4,8,192,96,64,8,BiModeBP,77.0165,41.5086,16.5729,22.0005,15.386,1.1705,5.2143,0.8257,0.0729,0.0103,0.0155,0.0102
660,1,1.8,16,128,2,2048,16,4,12,2,8,128,128,32,8,BiModeBP,162.0143,79.6234,18.8093,57.9789,17.6799,1.1959,6.9918,0.7722,0.0727,0.0107,0.0152,0.0101
661,1,2.4,128,32,8,256,16,12,4,12,2,32,128,32,64,LocalBP,110.9062,115.006,17.9466,91.1221,16.6149,1.3102,15.5205,0.7722,0.0807,0.0081,0.0192,0.0104
662,1,3.2,16,64,4,1024,16,8,12,4,12,192,64,32,64,TournamentBP,157.567,139.741,18.0493,117.7425,17.0136,1.2244,16.7786,0.9619,0.0673,0.0108,0.0158,0.0102
663,1,1.6,16,16,2,512,4,12,2,8,2,192,128,8,64,MultiperspectivePerceptron64KB,94.904,59.7854,17.3204,39.0261,16.1619,1.236,8.221,0.7402,0.1314,0.0086,0.0817,0.0106
664,1,3.6,64,16,8,1024,16,4,12,4,12,64,16,16,32,TAGE,165.7317,141.289,17.7337,120.8012,16.792,1.2146,14.7149,0.7506,0.0561,0.0102,0.0816,0.0106
665,1,3.2,64,32,1,512,2,4,12,12,2,192,96,64,32,BiModeBP,171.4152,220.538,18.4743,195.7669,17.2184,1.3318,23.7238,0.7812,0.0732,0.0108,0.0274,0.0103
666,1,3.4,32,64,2,1024,4,8,2,2,4,128,96,32,16,LocalBP,84.6772,69.0876,17.2576,45.1085,16.088,1.1489,7.9981,0.7074,0.0812,0.0089,0.0164,0.0102
667,1,3.8,64,32,4,2048,4,2,4,12,8,32,32,8,32,TournamentBP,136.4,164.309,19.6443,135.6104,18.3589,1.3279,20.5754,0.6341,0.0676,0.0099,0.0183,0.0104
668,1,1,16,128,4,1024,16,4,4,8,4,192,16,8,8,LocalBP,103.9212,44.6648,18.1263,24.3391,16.8628,1.2446,5.9751,1.0252,0.0812,0.0109,0.0102,0.0101
669,1,3.2,16,128,2,2048,4,8,2,12,2,192,64,8,64,TournamentBP,133.933,142.038,19.7114,114.4461,18.3931,1.3248,19.56,0.7323,0.0676,0.011,0.0148,0.0101
670,1,1.8,16,16,1,512,16,8,4,2,4,64,128,16,16,BiModeBP,84.118,46.4754,16.6981,26.0632,15.5545,1.1462,5.0802,0.753,0.0728,0.0094,0.1043,0.0106
671,1,2,64,16,4,2048,8,2,4,12,2,32,16,8,8,BiModeBP,133.1197,93.751,19.5379,68.8494,18.2052,1.3173,11.0137,0.6636,0.0729,0.01,0.0673,0.0106
672,1,1.6,64,16,2,512,2,8,8,12,4,128,16,8,16,TAGE_SC_L_64KB,141.7535,88.8155,18.1214,69.5844,16.9945,1.3214,11.6989,0.9096,0.0551,0.0093,0.0818,0.0106
673,1,2.4,32,16,2,256,16,8,2,2,12,128,64,64,32,TournamentBP,75.1286,53.6221,16.4757,32.1795,15.3443,1.1493,6.5081,0.7527,0.0675,0.0093,0.1009,0.0106
674,1,3.4,64,64,4,512,8,4,8,12,8,256,96,8,8,MultiperspectivePerceptron64KB,154.4537,183.025,18.2703,160.4517,17.2126,1.3303,24.3285,0.7661,0.1103,0.009,0.015,0.0102
675,1,2.4,32,64,8,512,8,12,12,12,8,128,64,64,64,TournamentBP,180.057,170.333,18.6205,149.4975,17.4542,1.3492,21.4957,1.0287,0.0673,0.0095,0.0157,0.0102
